"ID","SITE_ID","latitude","longitude","StartYr","EndYr","speciesCategory","species","Status","LEASE_TYPE","equipment","Source_of_Stock","BATHY","X010029_20130824","X010029_20140115","X010029_20140304","X010029_20140507","X010029_20140608","X010029_20140827","X010029_20140912","X010029_20140928","X010029_20141030","X010029_20150307","X010029_20150713","X010029_20150729","X010029_20150814","X010029_20150915","X010029_20151220","X011029_20160823","X011030_20130714","X011030_20130730","X011030_20130815","X011030_20131002","X011030_20131018","X011030_20140327","X011030_20140412","X011030_20140530","X011030_20140919","X011030_20150415","X011030_20150906","X011030_20151008","X011030_20151109","X011030_20151125","X011030_20160128","X011030_20160417","X011030_20160620","X011030_20160706","X011030_20160722","X011030_20160823"
13,"APET217",44.2963,-68.8038,2017,2017,"ShellFish","Sea Scallop (Placopecten magellanicus)","A","L","lantern nets/pearl nets, scallop spat collector bags, scallop ear hangers","sea scallop (Caitlin Cleaver, Hurricane Island Foundation) and Nate Perry, Pine Point Oyster)",-5.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"ASMA117",43.93713,-69.271078,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture P.O. Box 204 Bremen, ME 04551",-2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,"ASMI116",44.24824,-68.25385,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","shellfish trays racks and over wintering cages; soft bags, semi rigid bags, and or floating trays","Muscongus Bay Aquaculture",-1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,"ASTG116",43.826276,-70.011469,2016,2017,"ShellFish, SeaVeg","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Dulse (P. palmata);Sugar Kelp (Laminaria saccharina)","A","L","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear","University of New England (marine algae), Mook Sea Farm or Muscongus Bay Aquaculture (American oysters)",-4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.31,6.71,NA,18.68,22.43,20.66
17,"BCLE117",43.749407,-70.193841,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Mark Green St. Joseph's College 278 Whites Bridge Standish ME 04084",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,"BEE108",43.74822,-70.0413,2008,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-1.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.47,22.88,19.75,16.4,14.16,1.29,10.86,12.68,15.41,11.39,21.19,14.7,10.95,6.97,2.95,6.48,NA,16,20.93,20.52
19,"BEE208",43.74781,-70.0341,2008,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath","Muscongus Bay Aquaculture,Mook Sea Farms",-0.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.48,15.48,1.9,15.51,15.35,15.94,17.41,NA,15.7,10.89,5.21,2.33,7.7,NA,NA,NA,NA
20,"BEE309",43.74773,-70.0343,2009,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Overwintering cages and floating shellfish bags","Muscongus Bay Aquaculture,Mook Sea Farms",-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.48,15.48,1.9,15.51,15.35,15.94,17.41,NA,15.7,10.89,5.21,2.33,7.7,NA,NA,NA,NA
21,"BEE409",43.74763,-70.0344,2009,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Floating shellfish bags and overwintering cages","Muscongus Bay Aquaculture,Mook Sea Farms",-0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.48,15.48,1.9,15.51,15.35,15.94,17.41,NA,15.7,10.89,5.21,2.33,7.7,NA,NA,NA,NA
22,"BERI117",43.787684,-70.112211,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semirigid bags, and/or floating trays","Mark Green",-1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"BHAM117",43.802016,-70.029666,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","American/eastern oyster: wild, Muscongus Bay Aquaculture, or Mook Sea Farm",-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"BMCK115",43.75876,-70.191,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags and moorings","Mook Sea Farms",-0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.12,23.17,14.65,10.75,6.22,0.93,NA,NA,20.61,23.03,20.39
25,"BMRC215",43.82835,-70.0157,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags, shellfish tray racks, and moorings","Muscongus Bay Aquaculture",-1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.46,25.41,16.04,10.94,4.91,0.32,NA,NA,21.05,23.87,23.94
26,"BOL110",43.84095,-69.7332,2010,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Oyster cages, floating & overwintered on bottom","Muscongus Bay Aquaculture",-1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.29,21.72,18.74,17.73,14.16,0.38,12.95,13.32,13.7,13.3,21.71,13.73,10.76,4.49,2.68,7.72,NA,19.21,20.85,20.3
27,"BOL312",43.82917,-69.7425,2012,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);European Oyster (Ostrea edulis)","A","L","Floating cages or shellfish raft with floating cages","Muscongus Bay Aquaculture",-0.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,21.28,17.97,17.6,13.87,0.47,10.28,12.88,14.13,11.62,21.74,13.87,10.69,5.13,2.88,7.52,NA,18.22,20.46,19.76
28,"BOL412",43.83833,-69.7383,2012,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);European Oyster (Ostrea edulis)","A","L","Floating cages or shellfish raft with floating cages","Muscongus Bay Aquaculture",-1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.69,21.89,18.45,16.91,14.19,0.93,12.77,13.04,14.05,13.53,22.11,14.09,10.78,4.63,3.1,8.06,NA,19.03,20.72,19.92
29,"BOL517",43.83556,-69.735278,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","shellfish raft, tray racks and cages","American/eastern oyster: Muscongus Bay Aqauaculture, Sea Scallop: Pine Point Oyster Co.",-1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"BPAR116",44.04694,-69.5173,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Mook Sea Farms",-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.86,9.6,NA,NA,25.01,24.55
31,"BPAR216",44.04728,-69.5168,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays","Mook Sea Farms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.77,9.54,NA,NA,24.71,24.23
32,"BPAR317",44.06564,-69.51417,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Upweller","Mook Sea Farm, Muscongus Bay Aquaculture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"BSTE117",43.986753,-69.152911,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved",-8.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"BSTE217",43.987851,-69.1525,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved",-6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"BSTE317",43.986742,-69.152508,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved",-8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"BSTE417",43.987851,-69.152926,2017,2017,"SeaVeg","Sugar Kelp (Laminaria saccharina)","A","L","marine algae gear","Ocean Approved",-6.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"BUTT114",43.78056,-70.1106,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","Tray racks and soft mesh bags","Mook Sea Farms,Wild",-1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85,16.77,13.33,15.88,13.2,22.11,14.95,10.93,6.09,1.93,6.47,NA,19.16,22.39,20.9
38,"BUTT314",43.77944,-70.1067,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","Tray racks and soft mesh bags","Mook Sea Farms,Wild",-1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,13.3,13.16,14.96,10.57,21.78,14.25,10.29,5.73,1.33,5.99,17.42,18.54,22.15,20.53
39,"BUTT414",43.7775,-70.1008,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","A","L","Tray racks and soft mesh bags","Mook Sea Farms,Wild",-4.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.13,14.25,13.52,15.8,11.55,21.68,15.04,11.11,6.54,1.85,NA,NA,18.84,NA,20.48
40,"CAR412",43.54518,-70.334,2012,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Upweller","Muscongus Bay Aquaculture",-0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.67,NA,NA,NA,NA,NA,NA
41,"CART114",44.2689,-68.9396,2014,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags","Muscongus Bay Aquaculture,Mook Sea Farms,Wild",-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"CART215",44.29478,-68.9987,2015,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","Soft mesh bags and moorings","Muscongus Bay Aquaculture,Wild",-2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"CART316",44.27114,-68.94,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages; soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"CART416",44.27114,-68.9405,2016,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages; soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture",-0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"CCAM117",43.814977,-69.746712,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Mook Sea Farm (207) 563-1456",-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"CCAM217",43.814975,-69.746461,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays","Mook Sea Farm (207) 563-1456",-0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,"CCOF117",43.81989,-70.10606,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria);Soft-shelled Clam (Mya arenaria)","A","L","upweller, shellfish tray racks and overwintering cages","American oyster: Muscongus Bay Aquaculture, soft-shelled clamand hard clam (Downeast Institute)",-1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"CDIC117",44.01129,-69.546288,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture Inc, Seal Ledge Bremen, ME 04551 (207-529-4100)",-2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,"CDIC217",44.01112,-69.545757,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture Inc, Seal Ledge Bremen, ME 04551 (207-529-4100)",-1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,"CDIC317",44.01125,-69.546025,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture Inc, Seal Ledge Bremen, ME 04551 (207-529-4100)",-1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"CDIC417",44.01143,-69.545757,2017,2017,"ShellFish","American/Eastern Oyster (Crassostrea virginica)","A","L","soft bags, semi rigid bags, and/or floating trays","Muscongus Bay Aquaculture Inc, Seal Ledge Bremen, ME 04551 (207-529-4100)",-1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,"CFRA117",43.73502,-70.18276667,2017,2017,"ShellFish, SeaVeg","American/Eastern Oyster (Crassostrea virginica);Bay Scallop (Aequipecten irradians);Blue Mussels (Mytilus edulis);Dulse (P. palmata);Hard Clam/Quahog (Mercenaria mercenaria);Horsetail Kelp (Laminaria digitata);L. longicruris;Porphyra;Sugar Kelp (Laminaria saccharina);Ulva","A","L","shellfish rafts, shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays, marine algae gear","Blue mussel: wild, Hard clam, American oyster and Bay scallop: Muscongus Bay Aquaculture, Marine algae (L. saccharina, L. longicraris, L. digitata, A. esculenta, P. palmata, U. lactuca, porphyra): wild",-8.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,"CFRA217",43.73581667,-70.18056667,2017,2017,"ShellFish, SeaVeg","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Bay Scallop (Aequipecten irradians);Blue Mussels (Mytilus edulis);Dulse (P. palmata);Hard Clam/Quahog (Mercenaria mercenaria);Horsetail Kelp (Laminaria digitata);L. longicruris;Porphyra;Sugar Kelp (Laminaria saccharina);Ulva","A","L","shellfish rafts, shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays, marine algae gear","Blue mussel: wild, Hard clam, American oyster and Bay scallop: Muscongus Bay Aquaculture, Marine algae (L. saccharina, L. longicraris, L. digitata, A. esculenta, P. palmata, U. lactuca, porphyra): wild",-10.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"CFRA317",43.73671667,-70.17853333,2017,2017,"ShellFish, SeaVeg","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Bay Scallop (Aequipecten irradians);Blue Mussels (Mytilus edulis);Dulse (P. palmata);Hard Clam/Quahog (Mercenaria mercenaria);Horsetail Kelp (Laminaria digitata);L. longicruris;Porphyra;Sugar Kelp (Laminaria saccharina);Ulva","A","L","shellfish rafts, shellfish tray racks and overwintering cages, soft bags, semi rigid bags, and/or floating trays, marine algae gear","Blue mussel: wild, Hard clam, American oyster and Bay scallop: Muscongus Bay Aquaculture, Marine algae (L. saccharina, L. longicraris, L. digitata, A. esculenta, P. palmata, U. lactuca, porphyra): wild",-11.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
