"ID","SITE_ID","latitude","longitude","StartYr","EndYr","Month","species","speciesCategory","equipment","SST","SST_StdDev","BATHY"
13,"AMOE116",43.78861,-70.1247,2016,2017,"Apr","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",6.29,NA,-0.26
14,"AMOE116",43.78861,-70.1247,2016,2017,"Aug","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.81,NA,-0.26
15,"AMOE116",43.78861,-70.1247,2016,2017,"Jan","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",1.15,NA,-0.26
16,"AMOE116",43.78861,-70.1247,2016,2017,"Jul","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.77,2.35,-0.26
17,"AMOE116",43.78861,-70.1247,2016,2017,"Jun","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",16.75,NA,-0.26
18,"AMOE216",43.78833,-70.1247,2016,2017,"Apr","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",6.29,NA,-0.31
19,"AMOE216",43.78833,-70.1247,2016,2017,"Aug","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.76,NA,-0.31
20,"AMOE216",43.78833,-70.1247,2016,2017,"Jan","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",1.14,NA,-0.31
21,"AMOE216",43.78833,-70.1247,2016,2017,"Jul","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",19.8,2.33,-0.31
22,"AMOE216",43.78833,-70.1247,2016,2017,"Jun","American/Eastern Oyster (Crassostrea virginica);Green Sea Urchin (S. droebachiensis)","ShellFish, Urchin","shellfish tray racks and overwintering cages; and soft bags, semi rigid bags, and/floating trays",16.68,NA,-0.31
23,"AND04",44.02529,-69.5402,2004,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",11.83,2.42,-0.44
24,"AND04",44.02529,-69.5402,2004,2017,"Aug","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",23.08,1.53,-0.44
25,"AND04",44.02529,-69.5402,2004,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",0.01,NA,-0.44
26,"AND04",44.02529,-69.5402,2004,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",25.43,1.8,-0.44
27,"AND04",44.02529,-69.5402,2004,2017,"Jun","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",19.25,NA,-0.44
28,"AND04",44.02529,-69.5402,2004,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",0.36,NA,-0.44
29,"AND04",44.02529,-69.5402,2004,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",15.57,NA,-0.44
30,"AND04",44.02529,-69.5402,2004,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",6.17,5.78,-0.44
31,"AND04",44.02529,-69.5402,2004,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",17.4,2.73,-0.44
32,"AND04",44.02529,-69.5402,2004,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating ADPI bags & trays",20.7,5.13,-0.44
33,"ANDR214",43.86722,-69.5673,2014,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",6.99,0.56,-6.88
34,"ANDR214",43.86722,-69.5673,2014,2017,"Aug","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",18.23,0.08,-6.88
35,"ANDR214",43.86722,-69.5673,2014,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",3.57,NA,-6.88
36,"ANDR214",43.86722,-69.5673,2014,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",16.87,2.93,-6.88
37,"ANDR214",43.86722,-69.5673,2014,2017,"Jun","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",15.55,NA,-6.88
38,"ANDR214",43.86722,-69.5673,2014,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",1.51,NA,-6.88
39,"ANDR214",43.86722,-69.5673,2014,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",10.71,NA,-6.88
40,"ANDR214",43.86722,-69.5673,2014,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",9.2,2.4,-6.88
41,"ANDR214",43.86722,-69.5673,2014,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",13.97,NA,-6.88
42,"ANDR214",43.86722,-69.5673,2014,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags",16.05,3.23,-6.88
43,"ANDR316",43.87028,-69.56659,2016,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","soft bags",6.98,NA,-1.17
44,"ANDR316",43.87028,-69.56659,2016,2017,"Aug","American/Eastern Oyster (Crassostrea virginica)","ShellFish","soft bags",19.37,0.21,-1.17
45,"ANDR316",43.87028,-69.56659,2016,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","soft bags",3.21,NA,-1.17
46,"ANDR316",43.87028,-69.56659,2016,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","soft bags",17.44,3.22,-1.17
47,"ANDR316",43.87028,-69.56659,2016,2017,"Jun","American/Eastern Oyster (Crassostrea virginica)","ShellFish","soft bags",16.28,NA,-1.17
48,"ASMI116",44.24824,-68.25385,2016,2017,"Aug","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus)","ShellFish","shellfish trays racks and over wintering cages; soft bags, semi rigid bags, and or floating trays",16.48,NA,-1.55
49,"ASTG116",43.826276,-70.011469,2016,2017,"Apr","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Dulse (P. palmata);Sugar Kelp (Laminaria saccharina)","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",6.71,NA,-4.54
50,"ASTG116",43.826276,-70.011469,2016,2017,"Aug","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Dulse (P. palmata);Sugar Kelp (Laminaria saccharina)","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",20.66,NA,-4.54
51,"ASTG116",43.826276,-70.011469,2016,2017,"Jan","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Dulse (P. palmata);Sugar Kelp (Laminaria saccharina)","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",0.31,NA,-4.54
52,"ASTG116",43.826276,-70.011469,2016,2017,"Jul","Alaria Kelp (Alaria esculenta);American/Eastern Oyster (Crassostrea virginica);Dulse (P. palmata);Sugar Kelp (Laminaria saccharina)","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",20.55,2.65,-4.54
53,"ATW113",43.98115,-69.0755,2013,2013,"Aug","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus);Soft-shelled Clam (Mya arenaria)","ShellFish","Oyster cages",17.91,NA,-1.19
54,"ATW113",43.98115,-69.0755,2013,2013,"Jul","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus);Soft-shelled Clam (Mya arenaria)","ShellFish","Oyster cages",23.48,0.94,-1.19
55,"ATW113",43.98115,-69.0755,2013,2013,"Oct","American/Eastern Oyster (Crassostrea virginica);Sea Scallop (Placopecten magellanicus);Soft-shelled Clam (Mya arenaria)","ShellFish","Oyster cages",15.04,1.78,-1.19
56,"ATW215",43.98116,-69.0755,2015,2015,"Apr","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks and over wintering cages",9.56,NA,-1.19
57,"ATW215",43.98116,-69.0755,2015,2015,"Nov","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks and over wintering cages",8.54,3.33,-1.19
58,"ATW215",43.98116,-69.0755,2015,2015,"Oct","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks and over wintering cages",13.56,NA,-1.19
59,"ATW215",43.98116,-69.0755,2015,2015,"Sep","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks and over wintering cages",19.72,NA,-1.19
60,"ATW315",43.98153,-69.0756,2015,2017,"Apr","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",6.49,1.98,-1.58
61,"ATW315",43.98153,-69.0756,2015,2017,"Aug","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",18.7,0.16,-1.58
62,"ATW315",43.98153,-69.0756,2015,2017,"Jul","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",18.69,NA,-1.58
63,"ATW315",43.98153,-69.0756,2015,2017,"Nov","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",9.1,2.63,-1.58
64,"ATW315",43.98153,-69.0756,2015,2017,"Oct","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",13.51,NA,-1.58
65,"ATW315",43.98153,-69.0756,2015,2017,"Sep","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",19.16,NA,-1.58
66,"ATW415",43.98167,-69.0754,2015,2017,"Apr","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",5.72,1.11,-2.64
67,"ATW415",43.98167,-69.0754,2015,2017,"Aug","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",18,0.08,-2.64
68,"ATW415",43.98167,-69.0754,2015,2017,"Jul","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",18.25,NA,-2.64
69,"ATW415",43.98167,-69.0754,2015,2017,"Nov","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",9.54,2.06,-2.64
70,"ATW415",43.98167,-69.0754,2015,2017,"Oct","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",13.47,NA,-2.64
71,"ATW415",43.98167,-69.0754,2015,2017,"Sep","American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis);Sea Scallop (Placopecten magellanicus)","ShellFish","Shellfish tray racks, soft bags, and moorings",18.88,NA,-2.64
72,"BARK115",44.04475,-69.5131,2015,2017,"Apr","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",16.75,NA,NA
73,"BARK115",44.04475,-69.5131,2015,2017,"Aug","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",24.44,0.77,NA
74,"BARK115",44.04475,-69.5131,2015,2017,"Jan","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",-0.81,NA,NA
75,"BARK115",44.04475,-69.5131,2015,2017,"Jul","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",24.69,NA,NA
76,"BARK115",44.04475,-69.5131,2015,2017,"Jun","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",20.76,NA,NA
77,"BARK115",44.04475,-69.5131,2015,2017,"Nov","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",6.3,5.78,NA
78,"BARK115",44.04475,-69.5131,2015,2017,"Oct","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",15.5,NA,NA
79,"BARK115",44.04475,-69.5131,2015,2017,"Sep","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine Algae Gear and Moorings",25.89,NA,NA
80,"BARK215",43.92958,-69.5739,2015,2017,"Apr","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",7.92,0.82,-10.03
81,"BARK215",43.92958,-69.5739,2015,2017,"Aug","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",20.4,0.31,-10.03
82,"BARK215",43.92958,-69.5739,2015,2017,"Jan","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",2.42,NA,-10.03
83,"BARK215",43.92958,-69.5739,2015,2017,"Jul","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",17.59,4.69,-10.03
84,"BARK215",43.92958,-69.5739,2015,2017,"Jun","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",16.55,NA,-10.03
85,"BARK215",43.92958,-69.5739,2015,2017,"Nov","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",8.7,2.97,-10.03
86,"BARK215",43.92958,-69.5739,2015,2017,"Oct","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",14.57,NA,-10.03
87,"BARK215",43.92958,-69.5739,2015,2017,"Sep","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",21.04,NA,-10.03
88,"BARK315",43.92964,-69.5739,2015,2017,"Apr","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",8.04,0.91,-9.78
89,"BARK315",43.92964,-69.5739,2015,2017,"Aug","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",20.45,0.32,-9.78
90,"BARK315",43.92964,-69.5739,2015,2017,"Jan","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",2.47,NA,-9.78
91,"BARK315",43.92964,-69.5739,2015,2017,"Jul","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",20.94,NA,-9.78
92,"BARK315",43.92964,-69.5739,2015,2017,"Jun","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",16.64,NA,-9.78
93,"BARK315",43.92964,-69.5739,2015,2017,"Nov","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",8.7,2.98,-9.78
94,"BARK315",43.92964,-69.5739,2015,2017,"Oct","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",14.57,NA,-9.78
95,"BARK315",43.92964,-69.5739,2015,2017,"Sep","Sugar Kelp (Laminaria saccharina)","SeaVeg","Marine algae gear and moorings",21.19,NA,-9.78
96,"BEE108",43.74822,-70.0413,2008,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",9.58,2.69,-1.78
97,"BEE108",43.74822,-70.0413,2008,2017,"Aug","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",20.13,0.54,-1.78
98,"BEE108",43.74822,-70.0413,2008,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",2.95,NA,-1.78
99,"BEE108",43.74822,-70.0413,2008,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",20.57,3.16,-1.78
100,"BEE108",43.74822,-70.0413,2008,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",1.29,NA,-1.78
101,"BEE108",43.74822,-70.0413,2008,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",12.68,NA,-1.78
102,"BEE108",43.74822,-70.0413,2008,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",8.96,2.81,-1.78
103,"BEE108",43.74822,-70.0413,2008,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",15.09,1.17,-1.78
104,"BEE108",43.74822,-70.0413,2008,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",18.3,4.09,-1.78
105,"BEE208",43.74781,-70.0341,2008,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",13.54,5.15,-0.58
106,"BEE208",43.74781,-70.0341,2008,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",2.34,NA,-0.58
107,"BEE208",43.74781,-70.0341,2008,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",1.9,NA,-0.58
108,"BEE208",43.74781,-70.0341,2008,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",15.35,NA,-0.58
109,"BEE208",43.74781,-70.0341,2008,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",8.05,4.02,-0.58
110,"BEE208",43.74781,-70.0341,2008,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",16.22,1.1,-0.58
111,"BEE208",43.74781,-70.0341,2008,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",15.94,NA,-0.58
112,"BEE309",43.74773,-70.0343,2009,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",13.54,5.15,-0.3
113,"BEE309",43.74773,-70.0343,2009,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",2.34,NA,-0.3
114,"BEE309",43.74773,-70.0343,2009,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",1.9,NA,-0.3
115,"BEE309",43.74773,-70.0343,2009,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",15.35,NA,-0.3
116,"BEE309",43.74773,-70.0343,2009,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",8.05,4.02,-0.3
117,"BEE309",43.74773,-70.0343,2009,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",16.22,1.1,-0.3
118,"BEE309",43.74773,-70.0343,2009,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Overwintering cages and floating shellfish bags",15.94,NA,-0.3
119,"BEE409",43.74763,-70.0344,2009,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",13.54,5.15,-0.29
120,"BEE409",43.74763,-70.0344,2009,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",2.34,NA,-0.29
121,"BEE409",43.74763,-70.0344,2009,2017,"Mar","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",1.9,NA,-0.29
122,"BEE409",43.74763,-70.0344,2009,2017,"May","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",15.35,NA,-0.29
123,"BEE409",43.74763,-70.0344,2009,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",8.05,4.02,-0.29
124,"BEE409",43.74763,-70.0344,2009,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",16.22,1.1,-0.29
125,"BEE409",43.74763,-70.0344,2009,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Floating shellfish bags and overwintering cages",15.94,NA,-0.29
126,"BMCK115",43.75876,-70.191,2015,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",11.12,NA,-0.67
127,"BMCK115",43.75876,-70.191,2015,2017,"Aug","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",20.39,NA,-0.67
128,"BMCK115",43.75876,-70.191,2015,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",0.93,NA,-0.67
129,"BMCK115",43.75876,-70.191,2015,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",21.82,1.71,-0.67
130,"BMCK115",43.75876,-70.191,2015,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",8.48,3.2,-0.67
131,"BMCK115",43.75876,-70.191,2015,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",14.65,NA,-0.67
132,"BMCK115",43.75876,-70.191,2015,2017,"Sep","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",23.17,NA,-0.67
133,"BMRC115",43.82873,-70.0161,2015,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",14.83,9.16,NA
134,"BMRC115",43.82873,-70.0161,2015,2017,"Jan","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",0.58,NA,NA
135,"BMRC115",43.82873,-70.0161,2015,2017,"Jul","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",22.51,NA,NA
136,"BMRC115",43.82873,-70.0161,2015,2017,"Nov","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",7.8,4.62,NA
137,"BMRC115",43.82873,-70.0161,2015,2017,"Oct","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags and moorings",16.78,NA,NA
138,"BMRC215",43.82835,-70.0157,2015,2017,"Apr","American/Eastern Oyster (Crassostrea virginica)","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",17.46,NA,-1.54
