"SITE_ID","LSAT8_PPPRRR","DATE","SST","latitude","longitude","StartYr","EndYr","species","speciesCategory","BATHY","Datef","Month"
"JYOU114",10029,20140608,18.97,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-06-08","Jun"
"GER513",10029,20140608,18.39,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-06-08","Jun"
"CRO112",10029,20140827,19.28,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-08-27","Aug"
"CRO212",10029,20140827,19.13,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-08-27","Aug"
"CRO312",10029,20140827,19.48,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-08-27","Aug"
"GER113",10029,20140827,21.52,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-08-27","Aug"
"GER213",10029,20140827,21.52,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-08-27","Aug"
"JYOU114",10029,20140827,20.34,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-08-27","Aug"
"DEN113",10029,20140827,21.84,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-08-27","Aug"
"GER513",10029,20140827,20.71,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-08-27","Aug"
"CRO112",10029,20140912,14.91,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-09-12","Sep"
"CRO212",10029,20140912,14.6,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-09-12","Sep"
"CRO312",10029,20140912,14.7,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-09-12","Sep"
"GER113",10029,20140912,17.29,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-09-12","Sep"
"GER213",10029,20140912,17.29,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-09-12","Sep"
"JYOU114",10029,20140912,17,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-09-12","Sep"
"DEN113",10029,20140912,16.17,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-09-12","Sep"
"GER513",10029,20140912,16.48,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-09-12","Sep"
"CRO112",10029,20140928,16.25,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-09-28","Sep"
"CRO212",10029,20140928,15.89,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-09-28","Sep"
"CRO312",10029,20140928,16.46,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-09-28","Sep"
"EML08",10029,20140928,21.22,44.34753,-68.4095,2008,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-09-28","Sep"
"GER113",10029,20140928,19.53,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2014-09-28","Sep"
"GER213",10029,20140928,19.53,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2014-09-28","Sep"
"JYOU114",10029,20140928,21.03,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-09-28","Sep"
"DEN113",10029,20140928,19.6,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-09-28","Sep"
"GER513",10029,20140928,18.06,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-09-28","Sep"
"CRO112",10029,20141030,11.88,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2014-10-30","Oct"
"CRO212",10029,20141030,12.04,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2014-10-30","Oct"
"CRO312",10029,20141030,12.18,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2014-10-30","Oct"
"EML08",10029,20141030,12.23,44.34753,-68.4095,2008,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-10-30","Oct"
"JYOU114",10029,20141030,13.34,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2014-10-30","Oct"
"DEN113",10029,20141030,12.2,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2014-10-30","Oct"
"GER513",10029,20141030,12.29,44.41433,-68.3676,2013,2014,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-1.05,"2014-10-30","Oct"
"TATH214",10029,20141030,12,44.35695,-68.3074,2014,2014,"Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-5.67,"2014-10-30","Oct"
"CRO112",10029,20150307,-1.5,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2015-03-07","Mar"
"CRO212",10029,20150307,-0.65,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2015-03-07","Mar"
"CRO312",10029,20150307,-0.99,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2015-03-07","Mar"
"GER113",10029,20150307,-2.49,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2015-03-07","Mar"
"GER213",10029,20150307,-2.49,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2015-03-07","Mar"
"JYOU114",10029,20150307,0.84,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-03-07","Mar"
"JYOU215",10029,20150307,0.82,44.40841,-67.9711,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-03-07","Mar"
"DEN113",10029,20150307,0.23,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2015-03-07","Mar"
"EBLA115",10029,20150307,-1.71,44.24785,-68.5665,2015,2015,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-0.1,"2015-03-07","Mar"
"FORT115",10029,20150307,0.34,44.39694,-68.4972,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-24.06,"2015-03-07","Mar"
"MFOR115",10029,20150307,0.08,44.42059,-68.4881,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-11.43,"2015-03-07","Mar"
"CRO112",10029,20150713,16.45,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2015-07-13","Jul"
"CRO212",10029,20150713,16.25,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2015-07-13","Jul"
"CRO312",10029,20150713,16.71,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2015-07-13","Jul"
"GER113",10029,20150713,22.36,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2015-07-13","Jul"
"GER213",10029,20150713,22.36,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2015-07-13","Jul"
"JWAL115",10029,20150713,19.87,44.43758,-68.3411,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.02,"2015-07-13","Jul"
"JYOU114",10029,20150713,20.65,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-07-13","Jul"
"JYOU215",10029,20150713,19.88,44.40841,-67.9711,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-07-13","Jul"
"DEN113",10029,20150713,21.8,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2015-07-13","Jul"
"EBLA115",10029,20150713,17.19,44.24785,-68.5665,2015,2015,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-0.1,"2015-07-13","Jul"
"FORT115",10029,20150713,20.75,44.39694,-68.4972,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-24.06,"2015-07-13","Jul"
"JFOG115",10029,20150713,20.57,44.43112,-68.3516,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.04,"2015-07-13","Jul"
"JFOG315",10029,20150713,21.24,44.42927,-68.3461,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.31,"2015-07-13","Jul"
"JFOG415",10029,20150713,21.17,44.42765,-68.3445,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.84,"2015-07-13","Jul"
"JWAL215",10029,20150713,20.74,44.43423,-68.348,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-4.63,"2015-07-13","Jul"
"JWAL315",10029,20150713,20.74,44.43283,-68.347,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.43,"2015-07-13","Jul"
"JWAL415",10029,20150713,20.69,44.43237,-68.3488,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.39,"2015-07-13","Jul"
"MFOR115",10029,20150713,22.4,44.42059,-68.4881,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-11.43,"2015-07-13","Jul"
"CRO112",10029,20150729,15.25,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2015-07-29","Jul"
"CRO212",10029,20150729,15.41,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2015-07-29","Jul"
"CRO312",10029,20150729,16.36,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2015-07-29","Jul"
"GER113",10029,20150729,20.25,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2015-07-29","Jul"
"GER213",10029,20150729,20.25,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2015-07-29","Jul"
"JWAL115",10029,20150729,19.56,44.43758,-68.3411,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.02,"2015-07-29","Jul"
"JYOU114",10029,20150729,18.2,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-07-29","Jul"
"JYOU215",10029,20150729,17.88,44.40841,-67.9711,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-07-29","Jul"
"EBLA115",10029,20150729,15.67,44.24785,-68.5665,2015,2015,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-0.1,"2015-07-29","Jul"
"FORT115",10029,20150729,18.05,44.39694,-68.4972,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-24.06,"2015-07-29","Jul"
"JFOG115",10029,20150729,20.27,44.43112,-68.3516,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.04,"2015-07-29","Jul"
"JFOG315",10029,20150729,19.84,44.42927,-68.3461,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.31,"2015-07-29","Jul"
"JFOG415",10029,20150729,20.13,44.42765,-68.3445,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.84,"2015-07-29","Jul"
"JWAL215",10029,20150729,20.54,44.43423,-68.348,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-4.63,"2015-07-29","Jul"
"JWAL315",10029,20150729,20.6,44.43283,-68.347,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.43,"2015-07-29","Jul"
"JWAL415",10029,20150729,20.57,44.43237,-68.3488,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.39,"2015-07-29","Jul"
"MFOR115",10029,20150729,18.65,44.42059,-68.4881,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-11.43,"2015-07-29","Jul"
"CRO112",10029,20150814,18.47,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2015-08-14","Aug"
"CRO212",10029,20150814,18.46,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2015-08-14","Aug"
"CRO312",10029,20150814,19.18,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2015-08-14","Aug"
"EML08",10029,20150814,23.88,44.34753,-68.4095,2008,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-08-14","Aug"
"GER113",10029,20150814,22.34,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2015-08-14","Aug"
"GER213",10029,20150814,22.34,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2015-08-14","Aug"
"JWAL115",10029,20150814,18.43,44.43758,-68.3411,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.02,"2015-08-14","Aug"
"JYOU114",10029,20150814,18.59,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-08-14","Aug"
"JYOU215",10029,20150814,18.45,44.40841,-67.9711,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-08-14","Aug"
"DEN113",10029,20150814,21.38,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2015-08-14","Aug"
"EBLA115",10029,20150814,18.45,44.24785,-68.5665,2015,2015,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-0.1,"2015-08-14","Aug"
"FORT115",10029,20150814,20.18,44.39694,-68.4972,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-24.06,"2015-08-14","Aug"
"JFOG115",10029,20150814,19.09,44.43112,-68.3516,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.04,"2015-08-14","Aug"
"JFOG315",10029,20150814,19.31,44.42927,-68.3461,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.31,"2015-08-14","Aug"
"JFOG415",10029,20150814,19.25,44.42765,-68.3445,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.84,"2015-08-14","Aug"
"JWAL215",10029,20150814,18.97,44.43423,-68.348,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-4.63,"2015-08-14","Aug"
"JWAL315",10029,20150814,19.44,44.43283,-68.347,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.43,"2015-08-14","Aug"
"JWAL415",10029,20150814,19.15,44.43237,-68.3488,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.39,"2015-08-14","Aug"
"MFOR115",10029,20150814,21.2,44.42059,-68.4881,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-11.43,"2015-08-14","Aug"
"CRO112",10029,20150915,16.85,44.49295,-68.2073,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.33,"2015-09-15","Sep"
"CRO212",10029,20150915,16.6,44.49123,-68.207,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.85,"2015-09-15","Sep"
"CRO312",10029,20150915,16.78,44.49087,-68.2046,2012,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.09,"2015-09-15","Sep"
"GER113",10029,20150915,19.37,44.4148,-68.3663,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.22,"2015-09-15","Sep"
"GER213",10029,20150915,19.37,44.41475,-68.3664,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Hard Clam/Quahog (Mercenaria mercenaria)","ShellFish",-0.23,"2015-09-15","Sep"
"JWAL115",10029,20150915,17.61,44.43758,-68.3411,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.02,"2015-09-15","Sep"
"JYOU114",10029,20150915,19.48,44.40863,-67.971,2014,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-09-15","Sep"
"JYOU215",10029,20150915,19.37,44.40841,-67.9711,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",NA,"2015-09-15","Sep"
"DEN113",10029,20150915,18.32,44.39674,-68.4303,2013,2017,"American/Eastern Oyster (Crassostrea virginica);Blue Mussels (Mytilus edulis)","ShellFish",-1.02,"2015-09-15","Sep"
"EBLA115",10029,20150915,18.14,44.24785,-68.5665,2015,2015,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-0.1,"2015-09-15","Sep"
"FORT115",10029,20150915,17.83,44.39694,-68.4972,2015,2016,"Sugar Kelp (Laminaria saccharina)","SeaVeg",-24.06,"2015-09-15","Sep"
"JFOG115",10029,20150915,17.71,44.43112,-68.3516,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-3.04,"2015-09-15","Sep"
"JFOG315",10029,20150915,17.89,44.42927,-68.3461,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-2.31,"2015-09-15","Sep"
"JFOG415",10029,20150915,17.91,44.42765,-68.3445,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.84,"2015-09-15","Sep"
"JWAL215",10029,20150915,17.86,44.43423,-68.348,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-4.63,"2015-09-15","Sep"
"JWAL315",10029,20150915,17.86,44.43283,-68.347,2015,2017,"American/Eastern Oyster (Crassostrea virginica)","ShellFish",-1.43,"2015-09-15","Sep"
