"ID","SITE_ID","LATITUDE","LONGITUDE","Month","species","equipment","SST_Mean","SST_StdDev","BATHY"
47,"ANDR316",43.87028,-69.56659,"Jun","ShellFish","soft bags",16.284,NA,-1.1668
48,"ASMI116",44.24824,-68.25385,"Aug","ShellFish","shellfish trays racks and over wintering cages; soft bags, semi rigid bags, and or floating trays",16.478,NA,-1.5544
49,"ASTG116",43.826276,-70.011469,"Apr","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",6.711,NA,-4.5428
50,"ASTG116",43.826276,-70.011469,"Aug","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",20.656,NA,-4.5428
51,"ASTG116",43.826276,-70.011469,"Jan","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",0.306,NA,-4.5428
52,"ASTG116",43.826276,-70.011469,"Jul","ShellFish, SeaVeg","HDPE mesh bags, OysterGro floating cages, macroalgae longline gear",20.557,2.65306464301193,-4.5428
53,"ATW113",43.98115,-69.0755,"Aug","ShellFish","Oyster cages",17.908,NA,-1.1858
54,"ATW113",43.98115,-69.0755,"Jul","ShellFish","Oyster cages",23.472,0.937623591853362,-1.1858
55,"ATW113",43.98115,-69.0755,"Oct","ShellFish","Oyster cages",15.042,1.7819090885901,-1.1858
56,"ATW215",43.98116,-69.0755,"Apr","ShellFish","Shellfish tray racks and over wintering cages",9.558,NA,-1.1858
57,"ATW215",43.98116,-69.0755,"Nov","ShellFish","Shellfish tray racks and over wintering cages",8.5355,3.32410897835796,-1.1858
58,"ATW215",43.98116,-69.0755,"Oct","ShellFish","Shellfish tray racks and over wintering cages",13.561,NA,-1.1858
59,"ATW215",43.98116,-69.0755,"Sep","ShellFish","Shellfish tray racks and over wintering cages",19.717,NA,-1.1858
60,"ATW315",43.98153,-69.0756,"Apr","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",6.4905,1.97494923985403,-1.5811
61,"ATW315",43.98153,-69.0756,"Aug","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",18.703,0.15556349186104,-1.5811
62,"ATW315",43.98153,-69.0756,"Jul","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",18.691,NA,-1.5811
63,"ATW315",43.98153,-69.0756,"Nov","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",9.0995,2.62973011923277,-1.5811
64,"ATW315",43.98153,-69.0756,"Oct","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",13.509,NA,-1.5811
65,"ATW315",43.98153,-69.0756,"Sep","ShellFish","Shellfish tray racks, soft bags, and moorings, SARE scallop ear-hanging gear",19.165,NA,-1.5811
66,"ATW415",43.98167,-69.0754,"Apr","ShellFish","Shellfish tray racks, soft bags, and moorings",5.7265,1.11369318036881,-2.6364
67,"ATW415",43.98167,-69.0754,"Aug","ShellFish","Shellfish tray racks, soft bags, and moorings",17.991,0.0763675323681475,-2.6364
68,"ATW415",43.98167,-69.0754,"Jul","ShellFish","Shellfish tray racks, soft bags, and moorings",18.25,NA,-2.6364
69,"ATW415",43.98167,-69.0754,"Nov","ShellFish","Shellfish tray racks, soft bags, and moorings",9.542,2.06192337393997,-2.6364
70,"ATW415",43.98167,-69.0754,"Oct","ShellFish","Shellfish tray racks, soft bags, and moorings",13.474,NA,-2.6364
71,"ATW415",43.98167,-69.0754,"Sep","ShellFish","Shellfish tray racks, soft bags, and moorings",18.878,NA,-2.6364
72,"BARK115",44.04475,-69.5131,"Apr","SeaVeg","Marine Algae Gear and Moorings",16.745,NA,NA
73,"BARK115",44.04475,-69.5131,"Aug","SeaVeg","Marine Algae Gear and Moorings",24.436,0.769332177930964,NA
74,"BARK115",44.04475,-69.5131,"Jan","SeaVeg","Marine Algae Gear and Moorings",-0.807,NA,NA
75,"BARK115",44.04475,-69.5131,"Jul","SeaVeg","Marine Algae Gear and Moorings",24.688,NA,NA
76,"BARK115",44.04475,-69.5131,"Jun","SeaVeg","Marine Algae Gear and Moorings",20.759,NA,NA
77,"BARK115",44.04475,-69.5131,"Nov","SeaVeg","Marine Algae Gear and Moorings",6.3015,5.78766900401189,NA
78,"BARK115",44.04475,-69.5131,"Oct","SeaVeg","Marine Algae Gear and Moorings",15.501,NA,NA
79,"BARK115",44.04475,-69.5131,"Sep","SeaVeg","Marine Algae Gear and Moorings",25.885,NA,NA
80,"BARK215",43.92958,-69.5739,"Apr","SeaVeg","Marine algae gear and moorings",7.921,0.816001225489275,-10.0325
81,"BARK215",43.92958,-69.5739,"Aug","SeaVeg","Marine algae gear and moorings",20.398,0.313955410846829,-10.0325
82,"BARK215",43.92958,-69.5739,"Jan","SeaVeg","Marine algae gear and moorings",2.419,NA,-10.0325
83,"BARK215",43.92958,-69.5739,"Jul","SeaVeg","Marine algae gear and moorings",17.5945,4.68458242536088,-10.0325
84,"BARK215",43.92958,-69.5739,"Jun","SeaVeg","Marine algae gear and moorings",16.552,NA,-10.0325
85,"BARK215",43.92958,-69.5739,"Nov","SeaVeg","Marine algae gear and moorings",8.7005,2.97621244201418,-10.0325
86,"BARK215",43.92958,-69.5739,"Oct","SeaVeg","Marine algae gear and moorings",14.575,NA,-10.0325
87,"BARK215",43.92958,-69.5739,"Sep","SeaVeg","Marine algae gear and moorings",21.04,NA,-10.0325
88,"BARK315",43.92964,-69.5739,"Apr","SeaVeg","Marine algae gear and moorings",8.035,0.916410388417766,-9.7804
89,"BARK315",43.92964,-69.5739,"Aug","SeaVeg","Marine algae gear and moorings",20.4565,0.318905158315131,-9.7804
90,"BARK315",43.92964,-69.5739,"Jan","SeaVeg","Marine algae gear and moorings",2.466,NA,-9.7804
91,"BARK315",43.92964,-69.5739,"Jul","SeaVeg","Marine algae gear and moorings",20.937,NA,-9.7804
92,"BARK315",43.92964,-69.5739,"Jun","SeaVeg","Marine algae gear and moorings",16.636,NA,-9.7804
93,"BARK315",43.92964,-69.5739,"Nov","SeaVeg","Marine algae gear and moorings",8.6975,2.98328350982604,-9.7804
94,"BARK315",43.92964,-69.5739,"Oct","SeaVeg","Marine algae gear and moorings",14.569,NA,-9.7804
95,"BARK315",43.92964,-69.5739,"Sep","SeaVeg","Marine algae gear and moorings",21.19,NA,-9.7804
96,"BEE108",43.74822,-70.0413,"Apr","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",9.57633333333333,2.69816091687159,-1.7756
97,"BEE108",43.74822,-70.0413,"Aug","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",20.1335,0.545179328294826,-1.7756
98,"BEE108",43.74822,-70.0413,"Jan","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",2.948,NA,-1.7756
99,"BEE108",43.74822,-70.0413,"Jul","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",20.57175,3.16366131510101,-1.7756
100,"BEE108",43.74822,-70.0413,"Mar","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",1.289,NA,-1.7756
101,"BEE108",43.74822,-70.0413,"May","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",12.68,NA,-1.7756
102,"BEE108",43.74822,-70.0413,"Nov","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",8.9575,2.81074945521653,-1.7756
103,"BEE108",43.74822,-70.0413,"Oct","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",15.0883333333333,1.16601472260574,-1.7756
104,"BEE108",43.74822,-70.0413,"Sep","ShellFish","Shellfish raft, soft bags, 3 5gal.buckets, floating trays, & overwintering cages",18.2995,4.08354166135231,-1.7756
105,"BEE208",43.74781,-70.0341,"Apr","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",13.5406666666667,5.14434935957244,-0.5753
106,"BEE208",43.74781,-70.0341,"Jan","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",2.335,NA,-0.5753
107,"BEE208",43.74781,-70.0341,"Mar","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",1.896,NA,-0.5753
108,"BEE208",43.74781,-70.0341,"May","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",15.348,NA,-0.5753
109,"BEE208",43.74781,-70.0341,"Nov","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",8.05,4.01778073070196,-0.5753
110,"BEE208",43.74781,-70.0341,"Oct","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",16.2193333333333,1.09395124815201,-0.5753
111,"BEE208",43.74781,-70.0341,"Sep","ShellFish","Two 12' x 8' shellfish rafts with 8 lobster trap cages suspended beneath",15.943,NA,-0.5753
112,"BEE309",43.74773,-70.0343,"Apr","ShellFish","Overwintering cages and floating shellfish bags",13.5406666666667,5.14434935957244,-0.3031
113,"BEE309",43.74773,-70.0343,"Jan","ShellFish","Overwintering cages and floating shellfish bags",2.335,NA,-0.3031
114,"BEE309",43.74773,-70.0343,"Mar","ShellFish","Overwintering cages and floating shellfish bags",1.896,NA,-0.3031
115,"BEE309",43.74773,-70.0343,"May","ShellFish","Overwintering cages and floating shellfish bags",15.348,NA,-0.3031
116,"BEE309",43.74773,-70.0343,"Nov","ShellFish","Overwintering cages and floating shellfish bags",8.05,4.01778073070196,-0.3031
117,"BEE309",43.74773,-70.0343,"Oct","ShellFish","Overwintering cages and floating shellfish bags",16.2193333333333,1.09395124815201,-0.3031
118,"BEE309",43.74773,-70.0343,"Sep","ShellFish","Overwintering cages and floating shellfish bags",15.943,NA,-0.3031
119,"BEE409",43.74763,-70.0344,"Apr","ShellFish","Floating shellfish bags and overwintering cages",13.5406666666667,5.14434935957244,-0.2938
120,"BEE409",43.74763,-70.0344,"Jan","ShellFish","Floating shellfish bags and overwintering cages",2.335,NA,-0.2938
121,"BEE409",43.74763,-70.0344,"Mar","ShellFish","Floating shellfish bags and overwintering cages",1.896,NA,-0.2938
122,"BEE409",43.74763,-70.0344,"May","ShellFish","Floating shellfish bags and overwintering cages",15.348,NA,-0.2938
123,"BEE409",43.74763,-70.0344,"Nov","ShellFish","Floating shellfish bags and overwintering cages",8.05,4.01778073070196,-0.2938
124,"BEE409",43.74763,-70.0344,"Oct","ShellFish","Floating shellfish bags and overwintering cages",16.2193333333333,1.09395124815201,-0.2938
125,"BEE409",43.74763,-70.0344,"Sep","ShellFish","Floating shellfish bags and overwintering cages",15.943,NA,-0.2938
126,"BMCK115",43.75876,-70.191,"Apr","ShellFish","Soft mesh bags and moorings",11.119,NA,-0.674
127,"BMCK115",43.75876,-70.191,"Aug","ShellFish","Soft mesh bags and moorings",20.392,NA,-0.674
128,"BMCK115",43.75876,-70.191,"Jan","ShellFish","Soft mesh bags and moorings",0.932,NA,-0.674
129,"BMCK115",43.75876,-70.191,"Jul","ShellFish","Soft mesh bags and moorings",21.8185,1.70766287656551,-0.674
130,"BMCK115",43.75876,-70.191,"Nov","ShellFish","Soft mesh bags and moorings",8.484,3.20460793233743,-0.674
131,"BMCK115",43.75876,-70.191,"Oct","ShellFish","Soft mesh bags and moorings",14.646,NA,-0.674
132,"BMCK115",43.75876,-70.191,"Sep","ShellFish","Soft mesh bags and moorings",23.174,NA,-0.674
133,"BMRC115",43.82873,-70.0161,"Apr","ShellFish","Soft mesh bags and moorings",14.835,9.1513759621163,NA
134,"BMRC115",43.82873,-70.0161,"Jan","ShellFish","Soft mesh bags and moorings",0.585,NA,NA
135,"BMRC115",43.82873,-70.0161,"Jul","ShellFish","Soft mesh bags and moorings",22.514,NA,NA
136,"BMRC115",43.82873,-70.0161,"Nov","ShellFish","Soft mesh bags and moorings",7.793,4.6202357082729,NA
137,"BMRC115",43.82873,-70.0161,"Oct","ShellFish","Soft mesh bags and moorings",16.781,NA,NA
138,"BMRC215",43.82835,-70.0157,"Apr","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",17.464,NA,-1.5365
139,"BMRC215",43.82835,-70.0157,"Aug","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",23.943,NA,-1.5365
140,"BMRC215",43.82835,-70.0157,"Jan","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",0.323,NA,-1.5365
141,"BMRC215",43.82835,-70.0157,"Jul","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",22.4595,1.99474822972725,-1.5365
142,"BMRC215",43.82835,-70.0157,"Nov","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",7.926,4.25961124986776,-1.5365
143,"BMRC215",43.82835,-70.0157,"Oct","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",16.036,NA,-1.5365
144,"BMRC215",43.82835,-70.0157,"Sep","ShellFish","Soft mesh bags, shellfish tray racks, and moorings",25.408,NA,-1.5365
145,"BOL110",43.84095,-69.7332,"Apr","ShellFish","Oyster cages, floating & overwintered on bottom",11.3276666666667,3.12579755155918,-1.3718
146,"BOL110",43.84095,-69.7332,"Aug","ShellFish","Oyster cages, floating & overwintered on bottom",19.5205,1.09813683118271,-1.3718
147,"BOL110",43.84095,-69.7332,"Jan","ShellFish","Oyster cages, floating & overwintered on bottom",2.682,NA,-1.3718
148,"BOL110",43.84095,-69.7332,"Jul","ShellFish","Oyster cages, floating & overwintered on bottom",21.269,1.70481846540915,-1.3718
149,"BOL110",43.84095,-69.7332,"Mar","ShellFish","Oyster cages, floating & overwintered on bottom",0.376,NA,-1.3718
150,"BOL110",43.84095,-69.7332,"May","ShellFish","Oyster cages, floating & overwintered on bottom",13.318,NA,-1.3718
151,"BOL110",43.84095,-69.7332,"Nov","ShellFish","Oyster cages, floating & overwintered on bottom",7.626,4.4363879451644,-1.3718
152,"BOL110",43.84095,-69.7332,"Oct","ShellFish","Oyster cages, floating & overwintered on bottom",15.2083333333333,2.19840336001684,-1.3718
153,"BOL110",43.84095,-69.7332,"Sep","ShellFish","Oyster cages, floating & overwintered on bottom",17.709,5.66392531730424,-1.3718
154,"BOL212",43.83556,-69.7353,"Apr","ShellFish","Floating cages or shellfish raft with floating cages",10.634,NA,-1.201
155,"BOL212",43.83556,-69.7353,"Aug","ShellFish","Floating cages or shellfish raft with floating cages",18.019,NA,-1.201
156,"BOL212",43.83556,-69.7353,"Jul","ShellFish","Floating cages or shellfish raft with floating cages",22.3655,2.0499025586598,-1.201
157,"BOL212",43.83556,-69.7353,"Mar","ShellFish","Floating cages or shellfish raft with floating cages",0.446,NA,-1.201
158,"BOL212",43.83556,-69.7353,"May","ShellFish","Floating cages or shellfish raft with floating cages",13.087,NA,-1.201
159,"BOL212",43.83556,-69.7353,"Oct","ShellFish","Floating cages or shellfish raft with floating cages",15.602,2.36456507628782,-1.201
160,"BOL212",43.83556,-69.7353,"Sep","ShellFish","Floating cages or shellfish raft with floating cages",14.044,NA,-1.201
161,"BOL312",43.82917,-69.7425,"Apr","ShellFish","Floating cages or shellfish raft with floating cages",9.80666666666667,2.0912640515567,-0.5946
162,"BOL312",43.82917,-69.7425,"Aug","ShellFish","Floating cages or shellfish raft with floating cages",18.8665,1.26784245866748,-0.5946
163,"BOL312",43.82917,-69.7425,"Jan","ShellFish","Floating cages or shellfish raft with floating cages",2.884,NA,-0.5946
164,"BOL312",43.82917,-69.7425,"Jul","ShellFish","Floating cages or shellfish raft with floating cages",20.93825,2.30243166746232,-0.5946
165,"BOL312",43.82917,-69.7425,"Mar","ShellFish","Floating cages or shellfish raft with floating cages",0.468,NA,-0.5946
166,"BOL312",43.82917,-69.7425,"May","ShellFish","Floating cages or shellfish raft with floating cages",12.883,NA,-0.5946
167,"BOL312",43.82917,-69.7425,"Nov","ShellFish","Floating cages or shellfish raft with floating cages",7.9085,3.92939238305364,-0.5946
168,"BOL312",43.82917,-69.7425,"Oct","ShellFish","Floating cages or shellfish raft with floating cages",15.1116666666667,2.1506334725688,-0.5946
169,"BOL312",43.82917,-69.7425,"Sep","ShellFish","Floating cages or shellfish raft with floating cages",17.933,5.38108260482963,-0.5946
170,"BOL412",43.83833,-69.7383,"Apr","ShellFish","Floating cages or shellfish raft with floating cages",11.4533333333333,2.95974413308538,-1.0792
171,"BOL412",43.83833,-69.7383,"Aug","ShellFish","Floating cages or shellfish raft with floating cages",19.1885,1.04015407512541,-1.0792
172,"BOL412",43.83833,-69.7383,"Jan","ShellFish","Floating cages or shellfish raft with floating cages",3.096,NA,-1.0792
173,"BOL412",43.83833,-69.7383,"Jul","ShellFish","Floating cages or shellfish raft with floating cages",21.33125,1.96380775960038,-1.0792
174,"BOL412",43.83833,-69.7383,"Mar","ShellFish","Floating cages or shellfish raft with floating cages",0.93,NA,-1.0792
175,"BOL412",43.83833,-69.7383,"May","ShellFish","Floating cages or shellfish raft with floating cages",13.044,NA,-1.0792
176,"BOL412",43.83833,-69.7383,"Nov","ShellFish","Floating cages or shellfish raft with floating cages",7.701,4.34870670429727,-1.0792
177,"BOL412",43.83833,-69.7383,"Oct","ShellFish","Floating cages or shellfish raft with floating cages",15.062,1.60116488844841,-1.0792
178,"BOL412",43.83833,-69.7383,"Sep","ShellFish","Floating cages or shellfish raft with floating cages",18.0825,5.70140197670713,-1.0792
179,"BPAR116",44.04694,-69.5173,"Apr","ShellFish","soft bags, semi rigid bags, and/or floating trays",9.6,NA,-0.1
180,"BPAR116",44.04694,-69.5173,"Aug","ShellFish","soft bags, semi rigid bags, and/or floating trays",25.1675,0.867620020515894,-0.1
181,"BPAR116",44.04694,-69.5173,"Jan","ShellFish","soft bags, semi rigid bags, and/or floating trays",-0.862,NA,-0.1
182,"BPAR116",44.04694,-69.5173,"Jul","ShellFish","soft bags, semi rigid bags, and/or floating trays",25.013,NA,-0.1
183,"BPAR216",44.04728,-69.5168,"Apr","ShellFish","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays",9.543,NA,NA
184,"BPAR216",44.04728,-69.5168,"Aug","ShellFish","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays",24.8165,0.8251936136447,NA
185,"BPAR216",44.04728,-69.5168,"Jan","ShellFish","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays",-0.772,NA,NA
186,"BPAR216",44.04728,-69.5168,"Jul","ShellFish","shellfish tray racks and over wintering cages; soft bags, semi rigid bags, and/or floating trays",24.706,NA,NA
187,"BREW112",44.13794,-68.6663,"Aug","ShellFish","Shellfish trays, bags, and cages all on bottom",17.681,NA,-2.4367
188,"BREW112",44.13794,-68.6663,"May","ShellFish","Shellfish trays, bags, and cages all on bottom",10.017,NA,-2.4367
189,"BREW215",44.2725,-68.7181,"Aug","ShellFish","Scallop spat collector bags, shellfish tray racks, and moorings",16.455,NA,-13.0322
190,"BSEW115",43.73019,-69.8683,"Apr","SeaVeg","Marine algae gear and moorings",7.926,2.92035100630044,-7.4877
191,"BSEW115",43.73019,-69.8683,"Aug","SeaVeg","Marine algae gear and moorings",17.964,NA,-7.4877
192,"BSEW115",43.73019,-69.8683,"Jan","SeaVeg","Marine algae gear and moorings",3.892,NA,-7.4877
193,"BSEW115",43.73019,-69.8683,"Jul","SeaVeg","Marine algae gear and moorings",18.0225,3.27178307655015,-7.4877
194,"BSEW115",43.73019,-69.8683,"Nov","SeaVeg","Marine algae gear and moorings",9.0175,2.35820111525714,-7.4877
195,"BSEW115",43.73019,-69.8683,"Oct","SeaVeg","Marine algae gear and moorings",14.604,NA,-7.4877
196,"BSEW115",43.73019,-69.8683,"Sep","SeaVeg","Marine algae gear and moorings",20.267,NA,-7.4877
197,"BSEW215",43.73134,-69.867,"Apr","SeaVeg","Marine algae gear and moorings",7.938,2.76620172800177,-11.4504
198,"BSEW215",43.73134,-69.867,"Aug","SeaVeg","Marine algae gear and moorings",18.322,NA,-11.4504
199,"BSEW215",43.73134,-69.867,"Jan","SeaVeg","Marine algae gear and moorings",3.706,NA,-11.4504
200,"BSEW215",43.73134,-69.867,"Jul","SeaVeg","Marine algae gear and moorings",18.206,3.14238253559302,-11.4504
201,"BSEW215",43.73134,-69.867,"Nov","SeaVeg","Marine algae gear and moorings",9.067,2.38719249328579,-11.4504
202,"BSEW215",43.73134,-69.867,"Oct","SeaVeg","Marine algae gear and moorings",14.604,NA,-11.4504
203,"BSEW215",43.73134,-69.867,"Sep","SeaVeg","Marine algae gear and moorings",20.4,NA,-11.4504
204,"BSEW315",43.73246,-69.8662,"Apr","SeaVeg","Marine algae gear and moorings",7.9145,2.54629151905276,-8.4915
205,"BSEW315",43.73246,-69.8662,"Aug","SeaVeg","Marine algae gear and moorings",18.302,NA,-8.4915
206,"BSEW315",43.73246,-69.8662,"Jan","SeaVeg","Marine algae gear and moorings",3.659,NA,-8.4915
207,"BSEW315",43.73246,-69.8662,"Jul","SeaVeg","Marine algae gear and moorings",15.906,NA,-8.4915
208,"BSEW315",43.73246,-69.8662,"Nov","SeaVeg","Marine algae gear and moorings",9.0165,2.39638488144121,-8.4915
209,"BSEW315",43.73246,-69.8662,"Oct","SeaVeg","Marine algae gear and moorings",14.549,NA,-8.4915
210,"BSEW315",43.73246,-69.8662,"Sep","SeaVeg","Marine algae gear and moorings",20.49,NA,-8.4915
211,"BSEW415",43.73374,-69.8662,"Apr","SeaVeg","Marine algae gear and moorings",8.38,2.93590735548654,-4.332
212,"BSEW415",43.73374,-69.8662,"Aug","SeaVeg","Marine algae gear and moorings",18.441,NA,-4.332
213,"BSEW415",43.73374,-69.8662,"Jan","SeaVeg","Marine algae gear and moorings",3.498,NA,-4.332
214,"BSEW415",43.73374,-69.8662,"Jul","SeaVeg","Marine algae gear and moorings",18.282,3.43512474300425,-4.332
215,"BSEW415",43.73374,-69.8662,"Nov","SeaVeg","Marine algae gear and moorings",8.855,2.4282046865946,-4.332
